decision_id,decision_type,action,entity_type,entity_id,issuer_id,legal_entity_id,plant_id,group_id,name,layer,registration_source,inclusion_reason,exclusion_reason,evidence_anchor,source_url,query_date,decision_owner,decision_date,decision_status,double_count_key,notes
h1-include-1255,manual_include,include,issuer,issuer:TW:3434,issuer:TW:3434,-,-,-,哲固,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3434,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3434,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1256,manual_include,include,issuer,issuer:TW:3438,issuer:TW:3438,-,-,-,類比科,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3438,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3438,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1257,manual_include,include,issuer,issuer:TW:3441,issuer:TW:3441,-,-,-,聯一光電,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3441,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3441,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1258,manual_include,include,issuer,issuer:TW:3444,issuer:TW:3444,-,-,-,利機,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3444,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3444,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1259,manual_include,include,issuer,issuer:TW:3455,issuer:TW:3455,-,-,-,由田,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3455,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3455,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1260,manual_include,include,issuer,issuer:TW:3465,issuer:TW:3465,-,-,-,進泰電子,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3465,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3465,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1261,manual_include,include,issuer,issuer:TW:3466,issuer:TW:3466,-,-,-,德晉,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3466,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3466,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1262,manual_include,include,issuer,issuer:TW:3467,issuer:TW:3467,-,-,-,台灣精材,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3467,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3467,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1263,manual_include,include,issuer,issuer:TW:3479,issuer:TW:3479,-,-,-,安勤,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3479,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3479,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1264,manual_include,include,issuer,issuer:TW:3483,issuer:TW:3483,-,-,-,力致,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3483,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3483,H1 人闸批准；仅在本行 product_scope 内有效。
